kode_provinsi,nama_provinsi,kode_kabupaten_kotakode_kabupaten_kota,nama_kabupaten_kota,tahun,Nama_Sungai,Tahap,Lokasi_Sampling,Lintang_Selatan,Bujur_Timur,pH,Suhu_(0C),DHL_(µS/cm),Salinitas_(ppt),Do_(mg/L),TDS_(mg/L),TSS_(mg/L),BOD_(mg/L),COD_(mg/L),Nitrat_(mg/L),Nitrit_(mg/L),Fenol_(µg/L),Sulfida_(mg/L),Sianida_(mg/L),Phospat_(mg/L),MBAS_(µg/L),M&L_(µg/L),NH3N_(mg/L),Klorin_(mg/L),EColi_(MPN/100ml),Coliform_(MPN/100ml),Mercury_(mg/L),Nilai_IP,Status_MutuAir,Latitude,Longitude
11,Aceh,11.01,Kabupaten Aceh Selatan,2020,Krueng Baru,I,Titik IV - Dekat Jembatan Krueng Baru Desa Krueng Baru Kec. Labuhan Barat,"03o 36’4,06”","0960 57’25,09”",7.75,25.4,108.5,0.05,6.18,80.2,35.0,2.3,5.0,7.36,0.03,0.1,0.02,0.019,0.22,69.76,427.2,0.11,0.01,1205.0,2400.0,0.0,4.304,Cemar Ringan,-3.6011277777777777,960.9569694444444
11,Aceh,11.01,Kabupaten Aceh Selatan,2020,Krueng Baru,I,Titik V - Desa Meunasah Tengah Kec. Lembah Sabil,"03o 35’ 48,07”","096o 57’ 7,06”",8.16,28.4,109.8,0.07,6.5,80.5,37.0,2.28,17.5,6.57,0.03,0.1,0.02,0.018,0.22,78.34,432.4,0.08,0.01,579.0,2411.0,0.0,2.615,Cemar Ringan,-3.5966861111111115,96.95196111111112
11,Aceh,11.01,Kabupaten Aceh Selatan,2020,Krueng Baru,II,Titik I - Jln. Alur Balok Desa Panton Pawoh Kec. Labuhan Haji,"03o 37’ 2,01”","096o 58’ 54,03”",8.36,21.6,71.32,0.04,6.01,36.0,18.0,2.44,3.22,4.06,0.03,1.0,0.001,0.0195,0.3,25.0,410.8,0.22,0.03,1047.0,1904.0,0.0,2.846,Cemar Ringan,-3.617225,96.981675
11,Aceh,11.01,Kabupaten Aceh Selatan,2020,Krueng Baru,II,Titik III - Jln. Guru Ceh Breh Desa Alu Trienggadeng Kec. Lembah Sabil,"03o 36’ 50,7”","096o 57’ 49,0” ",7.58,23.3,75.27,0.04,6.11,37.8,30.0,2.55,3.22,4.23,0.03,1.0,0.001,0.0183,0.23,26.85,413.2,0.21,0.01,710.0,2224.0,0.0,2.636,Cemar Ringan,-3.6140833333333333,96.96361111111112
11,Aceh,11.01,Kabupaten Aceh Selatan,2020,Krueng Baru,II,Titik V - Desa Meunasah Tengah Kec. Lembah Sabil,"03o 35’ 48,07”","096o 57’ 7,06”",7.48,25.4,74.56,0.07,6.11,37.5,33.0,2.32,3.22,4.44,0.03,1.0,0.001,0.0221,0.21,44.01,420.4,0.26,0.02,780.0,2595.0,0.0,2.615,Cemar Ringan,-3.5966861111111115,96.95196111111112
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,I,Titik I - Desa Toweren Kec. Lut Tawar (Inlet Danau),"04o 36’ 05,4”","096o 53’ 33,4”",6.93,20.2,130.8,0.07,5.29,66.54,26.0,2.17,35.93,4.55,0.03,0.1,0.02,0.018,0.09,164.17,431.6,0.064,0.01,432.0,4611.0,0.0,3.764,Kondisi Baik,-4.6015,96.89261111111112
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,I,Titik II - Desa Pante Menye Kec. Bintang (Alur Masuk ke Danau),"04o 35’ 36,3”","096o 59’ 47,8”",7.72,26.6,153.8,0.08,5.64,77.61,22.0,2.33,10.3,4.5,0.03,0.1,0.02,0.017,0.13,95.51,440.4,0.112,0.02,201.0,528.0,0.0,3.764,Cemar Ringan,-4.593416666666666,96.99661111111111
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,I,Titik III - Mata Air Desa Kelitu Kec. Bintang (Alur yang Mengalir ke Danau),"04o 37' 50,3”","096o 56’ 57,6” ",7.04,18.0,242.0,0.12,5.18,123.0,21.0,2.44,12.83,5.28,0.03,0.1,0.02,0.018,0.3,9.68,489.6,0.068,0.01,102.0,318.0,0.0,3.756,Cemar Ringan,-4.630638888888889,96.94933333333334
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,I,Titik IV - Intake PDAM Desa Mendale Kec. Kebayakan (Pemanfaatan Air),"04o 38’ 30,0”","0960 51’ 55,6”",7.59,26.5,147.0,0.08,5.05,75.08,24.0,2.64,5.13,4.45,0.03,0.1,0.02,0.019,0.09,52.6,471.6,0.087,0.02,106.0,683.0,0.0,3.765,Cemar Ringan,-4.641666666666667,960.8654444444445
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,I,Titik V - Tengah Danau Desa Dedalu Kec. Lut Tawar,"04o 37’ 01,6”","0960 51’ 19,0”",7.06,25.4,157.4,0.08,4.63,79.48,29.0,2.35,5.13,4.5,0.03,0.1,0.02,0.018,0.26,26.85,443.6,0.084,0.04,110.0,331.0,0.0,3.77,Cemar Ringan,-4.617111111111112,960.8552777777778
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,II,Titik I Desa Toweren Kec. Lut Tawar (Inlet Danau),"04o 36’ 05,4”","096o 53’ 33,4”",6.99,21.6,136.3,0.07,7.43,68.57,30.0,2.98,36.57,3.62,0.03,1.0,0.01,0.0166,0.1936,9.68,411.6,0.115,0.02,935.0,3255.0,0.0,3.764,Cemar Ringan,-4.6015,96.89261111111112
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,II,Titik II - Desa Pante Menye Kec. Bintang (Alur Masuk ke Danau),"04o 35’ 36,3”","096o 59’ 47,8”",6.98,25.5,164.4,0.08,5.55,83.17,32.0,2.4,62.88,3.88,0.03,1.0,0.01,0.0207,0.1825,52.6,413.6,0.152,0.02,958.0,1674.0,0.0,3.764,Cemar Ringan,-4.593416666666666,96.99661111111111
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,II,Titik III - Mata Air Desa Kelitu Kec. Bintang (Alur yang Mengalir ke Danau),"04o 37' 50,3”","096o 56’ 57,6” ",6.99,18.2,240.6,0.12,6.52,121.2,26.0,3.02,28.23,4.86,0.03,1.0,0.01,0.0172,0.199,9.68,421.2,0.107,0.01,867.0,1682.0,0.0,3.756,Cemar Ringan,-4.630638888888889,96.94933333333334
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,II,Titik IV - Intake PDAM Desa Mendale Kec. Kebayakan (Pemanfaatan Air),"04o 38’ 30,0”","0960 51’ 55,6”",6.99,23.1,194.7,0.1,3.09,96.5,27.0,2.9,57.75,4.36,0.03,1.0,0.01,0.0157,0.1975,25.0,428.8,0.113,0.03,598.0,1430.0,0.0,3.765,Cemar Ringan,-4.641666666666667,960.8654444444445
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,II,Titik V - Tengah Danau Desa Dedalu Kec. Lut Tawar,"04o 37’ 01,6”","0960 51’ 19,0”",7.0,23.2,167.5,0.09,4.74,86.04,22.0,2.52,43.63,4.42,0.03,1.0,0.01,0.0192,0.208,44.01,418.8,0.182,0.05,616.0,1110.0,0.0,3.77,Cemar Ringan,-4.617111111111112,960.8552777777778
11,Aceh,11.04,Kabupaten Aceh Tengah,2020,Danau Laut Tawar,II,Titik VI - Desa Balee Bawah Kec. Lut Tawar (Outlet Danau),"04o 37’ 01,8”","096o 50’ 57,9”",7.0,23.0,171.7,0.09,4.21,86.65,30.0,2.05,44.91,4.15,0.03,1.0,0.01,0.0183,0.2776,9.68,433.2,0.173,0.02,889.0,2075.0,0.0,3.788,Cemar Ringan,-4.617166666666667,96.84941666666666
11,Aceh,11.72,Kota Sabang,2020,Danau Aneuk Laot,II,Titik I - Inlet Danau (Saluran Sumber Air Gunung) Lingkungan Putro Ijo Desa Aneuk Laot Kec. Suka Karya,"05o 52’ 12,4”","095o 19’ 56,5”",6.96,29.6,468.1,0.22,3.73,242.6,26.0,2.17,25.02,4.03,0.03,1.0,0.01,0.0169,0.2676,215.66,407.6,0.109,0.04,156.5,2419.6,0.0,3.105,Cemar Ringan,-5.870111111111112,95.33236111111111
11,Aceh,11.72,Kota Sabang,2020,Danau Aneuk Laot,II,Titik II - Tengah Danau Lingkungan Putro Ijo Gampong Danau Aneuk Laot Kec. Suka Karya,"05o 52’ 07,1”","095o 19’ 52,9”",6.99,28.7,256.6,0.12,7.14,126.8,28.0,1.51,80.84,3.89,0.03,1.0,0.01,0.0154,0.2838,129.84,411.2,0.113,0.02,14.5,66.3,0.0,2.504,Cemar Ringan,-5.868638888888889,95.33136111111111
11,Aceh,11.72,Kota Sabang,2020,Danau Aneuk Laot,II,Titik IV - Komplek Mata Air & Swembat Desa Aneuk Laot Kec. Suka Karya,"05o 52’ 42,2”","0950 19’ 36,8”",6.97,29.1,526.8,0.24,3.58,242.9,18.0,2.02,20.53,4.23,0.03,1.0,0.01,0.0239,0.1185,61.18,422.8,0.124,0.06,10.8,79.4,0.0,2.42,Cemar Ringan,-5.87838888888889,950.3268888888889
